question,filename,answer,source_image
1,GI_Gallbladder.jpeg,"Gallbladder - 2 points",ctgastrointestinal1.jpeg
2,GI_Thoracic_oesophagus.jpeg,"Thoracic oesophagus - 2 points",ctgastrointestinal2.jpeg
3,GI_Small_intestine_loops.jpeg,"Small intestine loops - 2 points",ctgastrointestinal8.jpeg
4,GI_Left_external_oblique.jpeg,"Left external oblique - 2 points",ctgastrointestinal9.jpeg
5,GI_Left_internal_oblique.jpeg,"Left internal oblique - 2 points",ctgastrointestinal10.jpeg
6,GI_Small_Bowel_Mesenteric_Vessels.jpeg,"Small Bowel Mesenteric Vessels - 2 points",ctgastrointestinal13.jpeg
7,GI_Greater_curvature_of_stomach.jpeg,"Greater curvature of stomach - 2 points",ctgastrointestinal14.jpeg
8,GI_Hilum_Of_The_Spleen.jpeg,"Hilum Of The Spleen - 2 points",ctgastrointestinal39.jpeg
9,GI_Head_of_pancreas.jpeg,"Head of pancreas - 2 points",ctgastrointestinal26.jpeg
10,GI_Falciform_ligament_of_the_liver.jpeg,"Falciform ligament of the liver - 2 points",ctgastrointestinal27.jpeg
11,GI_Hilum_Of_The_Spleen_2.jpeg,"Hilum Of The Spleen - 2 points",ctgastrointestinal39.jpeg
12,GI_Inferior_vena_cava.jpeg,"Inferior vena cava - 2 points",ctgastrointestinal32.jpeg
13,GI_Tail_of_pancreas.jpeg,"Tail of pancreas - 2 points",ctgastrointestinal34.jpeg
14,GI_Hilum_Of_The_Spleen_3.jpeg,"Hilum Of The Spleen - 2 points",ctgastrointestinal39.jpeg
15,GI_Right_external_oblique.jpeg,"Right external oblique - 2 points",ctgastrointestinal37.jpeg
16,GI_Hilum_Of_The_Spleen_4.jpeg,"Hilum Of The Spleen - 2 points",ctgastrointestinal39.jpeg
17,GI_Urinary_bladder.jpeg,"Urinary bladder - 2 points",ctgastrointestinal41.jpeg
18,GI_Right_inguinal_canal.jpeg,"Right inguinal canal - 2 points",ctgastrointestinal42.jpeg
19,GI_Transverse_colon.jpeg,"Transverse colon - 2 points",ctgastrointestinal55.jpeg
20,GI_Horizontal_portion_of_duodenum.jpeg,"Horizontal portion of duodenum - 2 points",ctgastrointestinal47.jpeg
